Match Number,Team Number,Starting Location,Initiation Line,Auto Balls [Low],Auto Balls [1],Auto Balls [2/3],Auto Balls [4],Auto Balls [5],Auto Balls [6],Auto Balls [Acquired],Auto End Location,Tele Balls [Low],Tele Balls [1],Tele Balls [2/3],Tele Balls [4],Tele Balls [5],Tele Balls [6],Wheel Spin,Wheel Color Match,Defender,Target,Endgame,Rung Level,Foul Points,Tech Foul Points,Alliance Color,Key creation successful!
29,33,Inline with Goal,1,0,0,3,0,0,0,None,Alliance Trench,0,0,11,0,0,0,0,0,None,None,Hang,0,0,0,red,
29,7856,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,1,0,0,0,0,0,None,None,Park,0,0,0,red,
30,7191,Left of Goal,0,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,Park,0,0,0,red,
30,7692,Left of Goal,1,0,0,0,0,0,0,None,Middle,1,0,0,0,0,0,0,0,None,None,Hang,1,1,2,blue,
31,7865,Left of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,Heavy,None,Park,1,0,0,red,
29,94,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Hang,0,13,0,blue,
30,7232,Left of Goal,1,0,0,0,0,0,0,None,Middle,0,0,0,0,0,0,0,0,None,None,Park,1,1,2,blue,
31,3538,Right of Goal,0,0,0,3,0,0,0,None,Auto Line,0,0,5,10,0,0,0,0,None,Light,Park,0,0,1,blue,
30,5532,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,None,0,0,0,red,
31,5090,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,6,0,0,0,0,0,0,0,Light,Light,Park,1,0,0,red,
31,7145,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,Light,None,None,0,0,1,blue,
29,5197,Left of Goal,1,0,0,0,0,0,0,None,Middle,0,0,0,0,0,0,0,0,Light,None,None,0,13,0,blue,
30,5214,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,3,0,0,0,0,0,0,0,None,None,Hang,1,1,2,blue,
31,4768,Inline with Goal,1,0,0,3,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Park,0,0,1,blue,
30,240,Inline with Goal,1,0,0,3,0,0,0,None,Goal Side Middle,0,0,1,0,0,0,0,0,None,None,Hang,0,0,0,red,
